FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
4 3
DATA
236.000000 250.000000 337.000000 188.000000
392.000000 313.000000 491.000000 260.000000
539.000000 262.000000 404.000000 336.000000
184.000000 250.000000 322.000000 158.000000
